,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1953,14/11/2016,,0.0,0.0,f,2.0,2.0,t,t,Jurong West,West Region,1.3483100000000001,103.69699,Private room in apartment,Private room,1,1 shared bath,1.0,1.0,35.0,180,730,t,30,60,90,365,0,0,0,,,0,,,,,,,t,2,0,2,0,
1954,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Geylang,Central Region,1.31292,103.88377,Entire condominium,Entire home/apt,4,2 baths,2.0,2.0,168.0,5,1124,t,0,0,0,133,2,1,0,23/10/2018,16/05/2020,1,10.0,10.0,10.0,10.0,10.0,10.0,f,97,96,0,0,0.08
1955,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Novena,Central Region,1.32555,103.84895999999999,Entire condominium,Entire home/apt,4,1 bath,2.0,2.0,168.0,5,1124,t,30,60,90,365,4,0,0,17/09/2018,09/06/2019,1,8.0,7.0,8.0,8.0,8.0,8.0,f,97,96,0,0,0.16
1956,09/05/2016,within an hour,0.8,0.96,f,14.0,14.0,t,t,Outram,Central Region,1.28243,103.84501999999999,Entire apartment,Entire home/apt,4,1 bath,1.0,1.0,151.0,6,300,t,19,49,79,80,19,8,0,16/08/2018,15/09/2020,1,9.0,9.0,10.0,9.0,10.0,9.0,f,16,12,0,0,0.71
1957,23/06/2018,within an hour,1.0,0.97,f,1.0,1.0,t,t,Geylang,Central Region,1.31653,103.88167,Entire apartment,Entire home/apt,6,1.5 baths,3.0,3.0,234.0,5,1000,t,9,9,9,9,30,11,0,04/08/2018,08/02/2020,1,9.0,9.0,9.0,9.0,9.0,9.0,t,1,1,0,0,1.1
1958,24/05/2018,,0.0,0.0,f,1.0,1.0,t,f,Bedok,East Region,1.32998,103.91035,Private room in apartment,Private room,1,1 private bath,1.0,1.0,50.0,3,3,t,23,53,83,358,2,0,0,03/08/2018,08/08/2018,1,10.0,10.0,10.0,10.0,10.0,10.0,t,1,0,1,0,0.07
1959,01/08/2018,within a day,0.57,1.0,f,1.0,1.0,t,t,Kallang,Central Region,1.31535,103.85409,Entire apartment,Entire home/apt,6,2.5 baths,2.0,3.0,250.0,2,1125,t,17,47,77,352,56,6,0,01/09/2018,26/02/2020,1,10.0,9.0,10.0,10.0,10.0,9.0,t,1,1,0,0,2.13
1960,25/12/2015,within a day,0.67,0.41,f,1.0,1.0,t,t,Bukit Timah,Central Region,1.32436,103.81059,Private room in apartment,Private room,2,1 private bath,1.0,1.0,68.0,1,30,t,3,33,63,64,22,4,0,27/08/2018,11/03/2020,1,10.0,10.0,10.0,10.0,10.0,10.0,f,1,0,1,0,0.83
1961,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Rochor,Central Region,1.30209,103.8492,Entire condominium,Entire home/apt,7,2 baths,3.0,6.0,258.0,5,1124,t,0,0,0,138,29,1,0,03/10/2018,07/01/2020,1,9.0,8.0,9.0,10.0,9.0,9.0,f,97,96,0,0,1.15
1962,05/07/2017,within an hour,1.0,0.33,f,239.0,239.0,t,t,Singapore River,Central Region,1.28948,103.83570999999999,Entire condominium,Entire home/apt,6,3 baths,3.0,3.0,485.0,6,1125,t,29,59,89,364,0,0,0,,,0,,,,,,,f,121,101,19,1,
